Name,QueryIni,ISO3166
306 Foundation,https://donorlinkonline.com/dataserver/ds_306Foundation/dataquery/TntQuery.aspx,
Agape Bulgaria,https://tntdataserver.eu/dataserver/bgr/dataquery/TntQuery.aspx,bgr
Agape Europe AOA,https://tntdataserver.eu/dataserver/AgapeAOA/dataquery/TntQuery.aspx,
Agape France,https://tntdataserver.eu/dataserver/fra/dataquery/TntQuery.aspx,fra
Agape Greece,https://tntdataserver.eu/dataserver/grc/dataquery/TntQuery.aspx,grc
Agape Ireland,https://tntdataserver.eu/dataserver/ire/dataquery/tntquery.aspx,irl
Agape Leadership Dev - Surinam,https://tntdataserver.com/dataserver/sur/dataquery/tntquery.aspx,sur
Agape Lithuania,https://tntdataserver.eu/dataserver/lit/dataquery/tntquery.aspx,ltu
Agapè Nederland,https://tntdataserver.eu/dataserver/nld/dataquery/tntquery.aspx,nld
Agape Österreich,https://tntdataserver.eu/dataserver/aut/dataquery/TntQuery.aspx,aut
Agape Österreich - GAIN,https://tntdataserver.eu/dataserver/gainaut/dataquery/TntQuery.aspx,
Agape Portugal,https://tntdataserver.eu/dataserver/prt/dataquery/tntquery.aspx,prt
Agape Spain,https://tntdataserver.eu/dataserver/esp/dataquery/TntQuery.aspx,esp
Agape UK,https://tntdataserver.eu/dataserver/uk/dataquery/TntQuery.aspx,gbr
Alfa y Omega - Panama,https://tntdataserver.com/dataserver/pan/dataquery/tntquery.aspx,pan
Asociatia Alege Viata Romania,https://tntdataserver.eu/dataserver/rou/dataquery/TntQuery.aspx,rou
Cadence International,https://tnt.cadence.org/dataserver/tnt_datacenter/dataquery/TntQuery.aspx,
Calvary International,https://gocalvary.com/dataserver/REsnap/dataquery/Tntquery.aspx,
Campus Crusade for Christ - Argentina,https://tntdataserver.com/dataserver/arg/dataquery/tntquery.aspx,arg
Campus Crusade for Christ - Australia,https://tntdataserverasia.com/dataserver/aus/dataquery/tntquery.aspx,aus
Campus Crusade for Christ - Bangladesh,https://tntdataserverasia.com/dataserver/bgd/dataquery/tntquery.aspx,bgd
Campus Crusade for Christ - Bolivia,https://tntdataserver.com/dataserver/bol/dataquery/tntquery.aspx,bol
Campus Crusade for Christ - Brasil,https://tntdataserver.com/dataserver/bra/dataquery/tntquery.aspx,bra
Campus Crusade for Christ - Chile,https://tntdataserver.com/dataserver/chl/dataquery/tntquery.aspx,chl
Campus Crusade for Christ - Colombia,https://tntdataserver.com/dataserver/col/dataquery/tntquery.aspx,col
Campus Crusade for Christ - Ecuador,https://tntdataserver.com/dataserver/ecu/dataquery/tntquery.aspx,ecu
Campus Crusade for Christ - Ethiopia,https://tntdataserver.com/dataserver/eth/dataquery/TntQuery.aspx,eth
Campus Crusade for Christ - Fiji,https://tntdataserverasia.com/dataserver/fji/dataquery/tntquery.aspx,fji
Campus Crusade for Christ - Ghana,https://tntdataserver.com/dataserver/gha/dataquery/TntQuery.aspx,gha
Campus Crusade for Christ - Guyana,https://tntdataserver.com/dataserver/guy/dataquery/tntquery.aspx,guy
Campus Crusade for Christ - Hong Kong,https://tntdataserverasia.com/dataserver/hkg/dataquery/tntquery.aspx,hkg
Campus Crusade for Christ - Italy,https://tntdataserver.eu/dataserver/ita/dataquery/TntQuery.aspx,ita
Campus Crusade for Christ - Jamaica,https://tntdataserver.com/dataserver/jam/dataquery/tntquery.aspx,jam
Campus Crusade for Christ - Japan,https://tntdataserverasia.com/dataserver/jpn/dataquery/tntquery.aspx,jpn
Campus Crusade for Christ - Kenya,https://tntdataserver.com/dataserver/ken/dataquery/tntquery.aspx,ken
Campus Crusade for Christ - Latvia,https://tntdataserver.eu/dataserver/lva/dataquery/tntquery.aspx,lva
Campus Crusade for Christ - Liberia,https://www.tntdataserver.com/dataserver/lib/dataquery/TntQuery.aspx,lbr
Campus Crusade for Christ - Mongolia,https://tntdataserverasia.com/dataserver/vzg/dataquery/tntquery.aspx,mng
Campus Crusade for Christ - Nepal,https://tntdataserverasia.com/dataserver/nep/dataquery/tntquery.aspx,npl
Campus Crusade for Christ - Nigeria,https://www.tntdataserver.com/dataserver/nir/dataquery/TntQuery.aspx,nga
Campus Crusade for Christ - Pacific Islands,https://tntdataserverasia.com/dataserver/pir/dataquery/tntquery.aspx,pir
Campus Crusade for Christ - Philippines,https://tntdataserverasia.com/dataserver/acc/dataquery/TntQuery.aspx,phl
Campus Crusade for Christ - PNG,https://tntdataserverasia.com/dataserver/png/dataquery/tntquery.aspx,png
Campus Crusade for Christ - Russia,https://tntdataserver.com/dataserver/rus/dataquery/tntquery.aspx,rus
Campus Crusade for Christ - Sierra Leone,https://www.tntdataserver.com/dataserver/sie/dataquery/TntQuery.aspx,sle
Campus Crusade for Christ - Slovenia,https://tntdataserver.eu/dataserver/slv/dataquery/tntquery.aspx,svn
Campus Crusade for Christ - Solomon Islands,https://tntdataserverasia.com/dataserver/slb/dataquery/tntquery.aspx,slb
Campus Crusade for Christ - South Africa,https://tntdataserver.com/dataserver/rsa/dataquery/TntQuery.aspx,zaf
Campus Crusade for Christ - Sri Lanka,https://tntdataserverasia.com/dataserver/sri/dataquery/tntquery.aspx,lka
Campus Crusade for Christ - Taiwan,https://tntdataserverasia.com/dataserver/twn/dataquery/tntquery.aspx,twn
Campus Crusade for Christ - Thailand,https://tntdataserverasia.com/dataserver/tha/dataquery/tntquery.aspx,tha
Campus Crusade for Christ - Tonga,https://tntdataserverasia.com/dataserver/ton/dataquery/tntquery.aspx,ton
Campus Crusade for Christ - Trinidad,https://tntdataserver.com/dataserver/tri/dataquery/tntquery.aspx,tto
Campus Crusade for Christ - Venezuela,https://tntdataserver.com/dataserver/ven/dataquery/tntquery.aspx,ven
Campus Crusade for Christ - Zambia,https://tntdataserver.com/dataserver/zmb/dataquery/TntQuery.aspx,zmb
Campus fuer Christus e.V. - Germany,https://tntdataserver.eu/dataserver/deu/dataquery/tntquery.aspx,deu
CCO Canada,https://rews.cco.ca/dataserver/CCO/dataquery/TntQuery.aspx,
Center for Mission Mobilization,https://remote.thecmm.net/dataserver/TNT-CMM/dataquery/tntquery.aspx,
Cru - Singapore,https://tntdataserverasia.com/dataserver/sgp/dataquery/tntquery.aspx,sgp
Cru - USA,https://staffweb.cru.org/ss/tntmpd/query.ini,usa
Cruzada Estudiantil - Costa Rica,https://tntdataserver.com/dataserver/cri/dataquery/tntquery.aspx,cri
Cruzada Estudiantil - Dominican Republic,https://tntdataserver.com/dataserver/dom/dataquery/tntquery.aspx,dom
Cruzada Estudiantil - El Salvador,https://tntdataserver.com/dataserver/els/dataquery/tntquery.aspx,slv
Cruzada Estudiantil - Guatemala,https://tntdataserver.com/dataserver/gtm/dataquery/tntquery.aspx,gtm
Cruzada Estudiantil - Honduras,https://tntdataserver.com/dataserver/hnd/dataquery/tntquery.aspx,hnd
Cruzada Estudiantil - Mexico,https://tntdataserver.com/dataserver/mex/dataquery/tntquery.aspx,mex
DiscipleMakers,https://staff.dm.org/tntmpd_connector/query.ini,
DonorElf,https://app.donorelf.com/tntmpd_query.ini,
e3 Partners Ministry,http://www.e3portal.org/cms/query.ini,
Every Nation Ministries - USA,https://admin.everynation.org/tntmpd/tntquery/ENM-USA,
FOCUS,https://tnt.focusonline.org/dataserver/focus/dataquery/TntQuery.aspx,
Food for the Hungry,https://fh1.tntmpd.dwvpn.net:9502/tntmpd/?action=query.ini,
Global Hope Network International,https://www.ghni.org:500/dataserver/orlando-dataserver/dataquery/TntQuery.aspx,
Global Service Network,https://donorlinkonline.com/dataserver/ds_GSN/dataquery/TntQuery.aspx,
Gospel For Asia – CAN,http://www.gfamedia.org/static/ca_query.ini,
Gospel For Asia – USA,http://www.gfamedia.org/static/us_query.ini,
Hesed Consulting,https://donorlinkonline.com/dataserver/ds_hesed/dataquery/TntQuery.aspx,
India Campus Crusade For Christ - Bangalore,https://tntdataserverasia.com/dataserver/ind/dataquery/tntquery.aspx,ind
Instituti Jeta e Re,https://tntdataserver.com/dataserver/alb/dataquery/TntQuery.aspx,alb
"International Friendships, Inc (IFI)",https://ifi-online.org/dataserver/IFI-Online/dataquery/TntQuery.aspx,
International Graduate School of Leadership (IGSL),https://tntdataserverasia.com/dataserver/IGSL/dataquery/tntquery.aspx,
Kingdom Mobilization,https://donorlinkonline.com/dataserver/ds_kingdommobilization/dataquery/TntQuery.aspx,
LA 2020,https://tntdataserver.com/dataserver/hza/dataquery/tntquery.aspx,tur
Life Action Ministries,https://tntmpd.lifeaction.net/dataserver/TntMPD_DataServer/dataquery/TntQuery.aspx,
Living Waters Canada,https://tntdataserver.com/dataserver/LivingWatersCanada/dataquery/TntQuery.aspx,
Master Plan Ministries,https://tntdataserver.com/dataserver/masterplanministries/dataquery/TntQuery.aspx,
Mission Aviation Fellowship,https://tools.maf.org/dataserver/mafus/dataquery/TntQuery.aspx,
Missions Door,https://myinfo.missionsdoor.org/dataserver/md/dataquery/TntQuery.aspx,
New Life Moldova,https://www.tntdataserver.com/dataserver/mol/dataquery/TntQuery.aspx,mda
Nova Nadezh,https://tntdataserver.com/dataserver/mkd/dataquery/TntQuery.aspx,mkd
Novy zivot,https://tntdataserver.eu/dataserver/cze/dataquery/TntQuery.aspx,cze
Ruch Nowego Zycia - POLAND,https://tntdataserver.eu/dataserver/plr/dataquery/TntQuery.aspx,pol
Obra Social Agape,https://tntdataserver.eu/dataserver/spo/dataquery/TntQuery.aspx,
Perspectives,https://remote.thecmm.net/dataserver/TNT-USCWM-PSP/dataquery/tntquery.aspx,
Power to Change - Canada,http://tntmpd.powertochange.org/tntmpd/Query.ini,can
Power to Change - Canada (Intl.),http://tntmpd.powertochange.org/intl/Query.ini,
SIM USA,https://tntweb.sim.org/dataserver/simusa/dataquery/tntquery.aspx,
Tandem Ministries,https://tntdataserverasia.com/dataserver/nzl/dataquery/tntquery.aspx,nzl
Tandem Ministries - Family Life,https://tntdataserverasia.com/dataserver/nzlfl/dataquery/tntquery.aspx,
TeachBeyond - Canada,https://tnt.teachbeyond.org/Canada/dataquery/TntQuery.aspx,
TeachBeyond - USA,https://tnt.teachbeyond.org/USA/dataquery/TntQuery.aspx,
The Impact Movement,https://donorlinkonline.com/dataserver/ds_Impact/dataquery/TntQuery.aspx,
The Navigators - Canada,https://tntmpd.navigators.ca/dataserver/tntmpd/dataquery/TntQuery.aspx,
The Navigators - Singapore,https://tntdataserverasia.com/dataserver/NavSG/dataquery/tntquery.aspx,
The Navigators - South Africa,https://tntdataserverasia.com/dataserver/NavZAF/dataquery/TntQuery.aspx,
The Navigators - USA,https://navcentral.navigators.org/donor/NavQuery.ini,
ToonTown Ministries,https://dataserver.tntware.com/dataserver/toontown/dataquery/tntquery.aspx,
"Trinity Church - Dallas, TX",https://tntmpd.frontlinepassport.com/dataserver/TrinityDonations/dataquery/TntQuery.aspx,
UFC,https://dataserver.tntware.com/dataserver/ukr/dataquery/TntQuery.aspx,ukr
United World Mission,https://financeupdatelink.com/dataserver/accounts/dataquery/TntQuery.aspx,
Wycliffe Associates,https://tntmpd.walink.org/dataserver/TntMPD/dataquery/TntQuery.aspx,
Zoweh Ministries,https://donorlinkonline.com/dataserver/ds_zoweh/dataquery/TntQuery.aspx,
